onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
422.0220000000	n/a	n/a	STATUS	n/a	n/a	S204
779.4760000000	n/a	n/a	STATUS	n/a	n/a	S205
796.6200000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
799.0000000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
799.4240000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
801.4800000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
804.4200000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
804.8360000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
806.8940000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
809.4440000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
809.9700000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
812.0240000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
813.0360000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
813.4900000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
815.5460000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
816.7000000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
817.1060000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
819.1620000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
821.1520000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
821.5760000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
823.6300000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
824.8280000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
825.2020000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
827.2560000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
828.2560000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
828.6700000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
830.7240000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
832.3640000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
832.8600000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
834.9120000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
837.4560000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
838.0000000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
840.0540000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
841.5800000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
842.0840000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
844.1380000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
845.4080000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
845.8620000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
847.9160000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
849.1080000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
849.5820000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
851.6340000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
854.8240000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
855.3480000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
857.4000000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
859.3960000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
859.7820000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
861.8340000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
863.0920000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
863.6260000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
865.6780000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
867.9960000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
868.4480000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
870.5020000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
873.0680000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
873.5020000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
875.5560000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
878.4440000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
878.8160000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
